Game,Similar1,Score1,Similar2,Score2,Similar3,Score3
Mahjong Taikai IV,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,0.7158349544323025,Jan Sangoku Musou,0.7078134846278037,Rakushou! Pachi-Slot Sengen 4,0.7078134846278037
Valentino Rossi: The Game,Ridge Racer Unbounded,0.9692134847722452,MXGP 2,0.8379070380850054,F1 2016 (Codemasters),0.8376800446284809
FlatOut: Ultimate Carnage,Fuel,0.7142410583348737,18 Wheels of Steel: Extreme Trucker,0.7142410583348737,RACE On,0.7120737250229943
Agarest Senki: Re-appearance,Enchanted Arms (JP sales),0.704857327105362,Neverland Card Battles,0.7032889747559766,Monster Hunter Frontier Online,0.7032724019145069
Ultraman Fighting Evolution 0,Magna Carta Portable,0.7057799740248527,Legend of the Dragon,0.7026010395894596,The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,0.7016057742991706
Gokuhou!! Mecha Mote Iinchou: Girls Motekawa Box,Ant Nation,0.9985159188436291,GoPets: Vacation Island,0.9955969830495279,Yumeiro Patissiere: My Sweets Cooking,0.9955711390065587
Aquaman: Battle for Atlantis,Tonka Rescue Patrol,0.9995213325479698,Darkened Skye,0.7394882492124195,Casper: Spirit Dimensions,0.7390350057532031
Strider (2014),Bionic Commando,0.894090950913619,Sengoku Basara: Sanada Yukimura-Den,0.8153548481915308,Mega Man Legacy Collection,0.8131703039330094
Jinsei Game Q DS: Shouwa no Dekigoto,Katekyoo Hitman Reborn! DS: Bongole Shiki Taisen Battle Sugoroku,0.9931079498227178,Fullmetal Alchemist: Trading Card Game,0.7083833998929354,Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,0.7082412589029758
The Book of Unwritten Tales 2,Legend of Kay Anniversary,0.8287817124617785,Legend of Kay,0.8280268513544335,The Book of Unwritten Tales 2,0.8265572121318633
Doraemon Wii: Himitsu Douguou Ketteisen!,Let's TAP,0.9884185825068021,Samba De Amigo,0.7918064980766707,Dance! It's Your Stage,0.708017165550658
Goku Makaimura Kai,Ultimate Ghosts 'n Goblins,0.9936657030955498,Ultimate Ghosts 'n Goblins (JP sales),0.9930774177360029,Mega Man Powered Up,0.989665449923754
No Fate! Only the Power of Will,Instant Brain,0.7416873719483619,Umineko no Naku Koro ni Portable 1,0.7416873719483619,Ouka Sengoku Portable,0.7416512987135666
Conflict: Denied Ops,Raven Squad: Operation Hidden Dagger,0.7149756916115395,Pony Friends 2,0.7149134868877709,Championship Manager 2010,0.7149134868877709
Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita,Last Rebellion,0.9944197008842518,Trinity Universe,0.9935732622226414,Cross Edge,0.9856736500453361
Championship Manager 2010,Championship Manager Season 01/02,0.758456578639424,Blood Bowl: Legendary Edition,0.726727027800891,Shaun White Skateboarding,0.7242270397499512
Simple DS Series Vol. 41: The Bakudan Shori-Han,Top Spin 3,0.995767297085318,Coraline,0.9953320345452501,The Secret Saturdays: Beasts of the 5th Sun,0.993542486132974
Paragon,Resident Evil 5 HD,0.8379938844998206,Dead Rising,0.8379338561088304,This War of Mine,0.8378466286832487
Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,Rakushou! Pachi-Slot Sengen 6: Rio 2 Cruising Vanadis,0.7145828626620825,Daito Giken Koushiki Pachi-Slot Simulator: 24 - Twenty-Four,0.7136591434099033,Totally Spies! Totally Party,0.7132816505276879
"Hanayaka Kana, Ware ga Ichizoku",S.Y.K: Shinsetsu Saiyuuki Portable,1.0,Wand of Fortune Portable,1.0,"Hanayaka Kana, Ware ga Ichizoku",1.0
Mamoru-kun wa Norowarete Shimatta!,Ketsui: Kizuna Jigoku Tachi Extra,0.7257667242471204,Attack of the Movies 3D,0.7250285035550292,Rock of the Dead,0.7248293358303757
